"Lineage","Week Sample was Collected","Number Identified in Utah","Percentage of all Sequenced Results per Week"
"B.1.617.2",2021-05-02,19,"4.7"
"Other Lineage",2021-05-02,62,"15.2"
"B.1.1.7",2021-05-09,308,"64.3"
"B.1.351",2021-05-09,7,"1.5"
"P.1",2021-05-09,14,"2.9"
"B.1.427",2021-05-09,8,"1.7"
"B.1.429",2021-05-09,4,"0.8"
"B.1.617.2",2021-05-09,43,"9"
"Other Lineage",2021-05-09,95,"19.8"
"B.1.1.7",2021-05-16,303,"65"
"B.1.351",2021-05-16,5,"1.1"
"P.1",2021-05-16,15,"3.2"
"B.1.427",2021-05-16,2,"0.4"
"B.1.429",2021-05-16,2,"0.4"
"B.1.617.2",2021-05-16,60,"12.9"
"Other Lineage",2021-05-16,79,"17"
"B.1.1.7",2021-05-23,178,"53"
"B.1.351",2021-05-23,1,"0.3"
"P.1",2021-05-23,16,"4.8"
"B.1.427",2021-05-23,6,"1.8"
"B.1.429",2021-05-23,6,"1.8"
"B.1.617.2",2021-05-23,75,"22.3"
"Other Lineage",2021-05-23,54,"16.1"
"B.1.1.7",2021-05-30,160,"35.7"
"B.1.351",2021-05-30,2,"0.4"
"P.1",2021-05-30,17,"3.8"
"B.1.427",2021-05-30,3,"0.7"
"B.1.429",2021-05-30,1,"0.2"
"B.1.617.2",2021-05-30,208,"46.4"
"Other Lineage",2021-05-30,57,"12.7"
"B.1.1.7",2021-06-06,113,"20.1"
"B.1.351",2021-06-06,5,"0.9"
"P.1",2021-06-06,26,"4.6"
"B.1.617.2",2021-06-06,359,"64"
"Other Lineage",2021-06-06,58,"10.3"
"B.1.1.7",2021-06-13,93,"15"
"P.1",2021-06-13,23,"3.7"
"B.1.427",2021-06-13,2,"0.3"
"B.1.617.2",2021-06-13,445,"71.8"
"Other Lineage",2021-06-13,57,"9.2"
"B.1.1.7",2021-06-20,59,"8.1"
"B.1.351",2021-06-20,1,"0.1"
"P.1",2021-06-20,18,"2.5"
"B.1.427",2021-06-20,3,"0.4"
"B.1.429",2021-06-20,1,"0.1"
"B.1.617.2",2021-06-20,591,"81.4"
"Other Lineage",2021-06-20,53,"7.3"
"B.1.1.7",2021-06-27,51,"6"
"P.1",2021-06-27,29,"3.4"
"B.1.617.2",2021-06-27,700,"82.2"
"Other Lineage",2021-06-27,72,"8.5"
"B.1.1.7",2021-07-04,24,"3.2"
"P.1",2021-07-04,14,"1.9"
"B.1.429",2021-07-04,1,"0.1"
"B.1.617.2",2021-07-04,627,"83.5"
"Other Lineage",2021-07-04,85,"11.3"
"B.1.1.7",2021-07-11,22,"2"
"P.1",2021-07-11,7,"0.6"
"B.1.617.2",2021-07-11,918,"83.5"
"Other Lineage",2021-07-11,152,"13.8"
"B.1.1.7",2021-07-18,5,"0.6"
"P.1",2021-07-18,6,"0.7"
"B.1.617.2",2021-07-18,705,"85.9"
"Other Lineage",2021-07-18,105,"12.8"
"B.1.1.7",2021-07-25,5,"0.5"
"B.1.617.2",2021-07-25,947,"89.1"
"Other Lineage",2021-07-25,111,"10.4"
"B.1.1.7",2021-08-01,3,"0.2"
"P.1",2021-08-01,2,"0.2"
"B.1.617.2",2021-08-01,1248,"95.9"
"Other Lineage",2021-08-01,48,"3.7"
"B.1.1.7",2021-08-08,1,"0.1"
"B.1.617.2",2021-08-08,1545,"95.5"
"Other Lineage",2021-08-08,71,"4.4"
"B.1.617.2",2021-08-15,1374,"90"
"Other Lineage",2021-08-15,153,"10"
"B.1.617.2",2021-08-22,1882,"93.7"
"Other Lineage",2021-08-22,127,"6.3"
"B.1.617.2",2021-08-29,1211,"91.1"
"Other Lineage",2021-08-29,118,"8.9"
"B.1.617.2",2021-09-05,953,"90.3"
"Other Lineage",2021-09-05,102,"9.7"
"B.1.617.2",2021-09-12,966,"81.2"
"Other Lineage",2021-09-12,224,"18.8"
"B.1.617.2",2021-09-19,605,"88.6"
"Other Lineage",2021-09-19,78,"11.4"
"B.1.617.2",2021-09-26,561,"89.9"
"Other Lineage",2021-09-26,63,"10.1"
"B.1.617.2",2021-10-03,437,"73.1"
"Other Lineage",2021-10-03,161,"26.9"
"B.1.617.2",2021-10-10,437,"88.3"
"Other Lineage",2021-10-10,58,"11.7"
"B.1.617.2",2021-10-17,370,"93.2"
"Other Lineage",2021-10-17,27,"6.8"
